Sub,Block,Obj,AE,SR
2,1,9,0.723148148,0.600925926
2,1,123,0.602777778,0.560185185
2,1,79,0.608333333,0.50462963
2,1,22,0.734259259,0.532407407
2,1,60,0.637037037,0.521296296
2,1,55,0.54537037,0.455555556
2,1,17,0.499074074,0.532407407
2,1,39,0.502777778,0.494444444
2,1,78,0.350925926,0.418518519
2,1,23,0.310185185,0.173148148
2,1,48,0.583333333,0.576851852
2,1,110,0.175925926,0.473148148
2,1,90,0.69351851900000006,0.65
2,1,34,0.239814815,0.325
2,1,83,0.561111111,0.507407407
2,1,84,0.660185185,0.496296296
2,1,101,0.528703704,0.4
2,1,43,0.297222222,0.082407407
2,1,126,0.877777778,0.855555556
2,1,67,0.381481481,0.533333333
2,1,141,0.081481481,0.123148148
2,1,86,0.835185185,0.87962963
2,1,115,0.869444444,0.448148148
2,1,5,0.696296296,0.637962963
2,1,125,0.416666667,0.417592593
2,1,89,0.486111111,0.158333333
2,1,16,0.549074074,0.54537037
2,1,94,0.571296296,0.506481481
2,1,88,0.736111111,0.566666667
2,1,18,9.25926e-4,0.00462963
2,1,36,0.190740741,0.248148148
2,1,106,0.524074074,0.542592593
2,1,97,0.507407407,0.490740741
2,1,38,9.25926e-4,0.155555556
2,1,93,0.39537037,0.353703704
2,1,59,0.538888889,0.299074074
2,1,47,0.680555556,0.526851852
2,1,119,0.533333333,0.455555556
2,1,35,0.386111111,0.625
2,1,130,0.735185185,0.609259259
2,1,76,0.517592593,0.500925926
2,1,30,0.546296296,0.405555556
2,1,107,0.331481481,0.411111111
2,1,42,0.606481481,0.482407407
2,1,118,0.447222222,0.44537037
2,1,53,0.540740741,0.519444444
2,1,70,0.567592593,0.464814815
2,1,69,0.564814815,0.52962963
2,1,100,0.563888889,0.49537037
2,1,29,0.603703704,0.753703704
2,1,72,0.388888889,0.464814815
2,1,27,0.110185185,0.302777778
2,1,121,0.583333333,0.716666667
2,1,133,0.596296296,0.515740741
2,1,3,0.55,0.496296296
2,1,68,0.550925926,0.459259259
2,1,122,0.666666667,0.790740741
2,1,24,0.852777778,0.940740741
2,1,64,0.930555556,0.668518519
2,1,112,0.915740741,0.724074074
2,1,62,0.622222222,0.497222222
2,1,148,0.517592593,0.424074074
2,1,12,0.611111111,0.467592593
2,1,99,0.622222222,0.68148148099999994
2,1,95,0.502777778,0.49537037
2,1,75,0.734259259,0.644444444
2,1,26,0.230555556,0.463888889
2,1,73,0.289814815,0.360185185
2,1,117,0.417592593,0.858333333
2,1,15,0.128703704,0.365740741
2,1,32,0.478703704,0.167592593
2,1,137,0.57037037,0.506481481
2,1,138,0.466666667,0.467592593
2,1,10,0.399074074,0.251851852
2,1,127,0.642592593,0.651851852
2,1,132,0.536111111,0.575
2,1,19,0.509259259,0.605555556
2,1,45,0.527777778,0.605555556
2,1,58,0.55462963,0.50462963
2,1,2,0.583333333,0.312037037
2,1,13,0.81851851900000006,0.935185185
2,1,103,0.376851852,0.308333333
2,1,144,0.137037037,0.074074074
2,1,21,0.55,0.50462963
2,1,20,0.151851852,0.075
2,1,96,0.499074074,0.143518519
2,1,116,0.664814815,0.757407407
2,1,66,0.712037037,0.859259259
2,1,109,0.576851852,0.501851852
2,1,120,0.723148148,0.576851852
2,1,77,0.678703704,0.714814815
2,1,56,0.550925926,0.498148148
2,1,98,0.484259259,0.501851852
2,1,6,0.249074074,0.471296296
2,1,8,0.525925926,0.496296296
2,1,28,0.491666667,0.267592593
2,1,74,0.516666667,0.50462963
2,1,134,0.235185185,0.117592593
2,1,65,0.751851852,0.886111111
2,1,85,0.248148148,0.263888889
2,1,52,0.424074074,0.132407407
2,2,30,0.553703704,0.537962963
2,2,135,0.415740741,0.40462963
2,2,123,0.588888889,0.561111111
2,2,64,0.732407407,0.562962963
2,2,36,0.49537037,0.497222222
2,2,126,0.95,0.860185185
2,2,5,0.639814815,0.553703704
2,2,141,0.175925926,0.075
2,2,81,0.505555556,0.471296296
2,2,29,0.623148148,0.82962963
2,2,40,0.32037037,0.256481481
2,2,35,0.503703704,0.503703704
2,2,101,0.499074074,0.307407407
2,2,65,0.93148148099999994,0.897222222
2,2,11,0.344444444,0.106481481
2,2,136,0.501851852,0.499074074
2,2,103,0.314814815,0.340740741
2,2,15,0.305555556,0.314814815
2,2,28,0.272222222,0.241666667
2,2,32,0.287962963,0.382407407
4,1,10,0.962037037,0.097222222
4,1,119,1,0.865740741
4,1,41,0.699074074,0.713888889
4,1,73,9.25926e-4,9.25926e-4
4,1,65,0.900925926,1
4,1,133,0.006481481,9.25926e-4
4,1,1,9.25926e-4,9.25926e-4
4,1,54,1,0.537962963
4,1,101,1,1
4,1,62,0.133333333,9.25926e-4
4,1,66,0.322222222,0.97962963
4,1,37,0.143518519,0.753703704
4,1,100,0.944444444,0.811111111
4,1,33,1,1
