Obj,Rating,Sub,Block
SCENES44,NA,277,2
SCENES10,NA,277,2
SCENES48,NA,277,2
SCENES6,3,277,1
SCENES25,1,290,1
SCENES41,2,290,1
SCENES21,5,290,1
SCENES43,3,290,1
SCENES22,2,290,1
SCENES14,5,290,1
SCENES11,4,290,1
SCENES18,3,290,2
SCENES6,3,290,2
SCENES12,5,290,2
SCENES13,NA,290,2
SCENES36,5,290,1
SCENES13,5,290,1
SCENES18,3,290,1
SCENES9,5,290,2
SCENES23,4,290,1
SCENES26,1,290,1
SCENES43,3,290,2
SCENES23,NA,290,2
SCENES2,2,290,1
SCENES49,4,290,1
SCENES48,5,290,1
SCENES2,NA,290,2
SCENES9,4,290,1
SCENES36,4,290,2
SCENES44,NA,290,2
SCENES8,4,290,1
SCENES1,3,290,1
SCENES46,NA,290,2
SCENES5,5,290,1
SCENES44,5,290,1
SCENES46,6,290,1
SCENES6,3,290,1
SCENES40,5,290,1
SCENES40,NA,290,2
SCENES25,NA,290,2
SCENES7,5,290,1
SCENES48,NA,290,2
SCENES37,NA,290,2
SCENES20,NA,290,2
SCENES11,NA,290,2
SCENES21,3,290,2
SCENES12,5,290,1
SCENES8,NA,290,2
SCENES20,5,290,1
SCENES28,5,290,1
SCENES1,NA,290,2
SCENES39,3,290,2
SCENES28,NA,290,2
SCENES49,NA,290,2
SCENES10,6,290,1
SCENES39,3,290,1
SCENES37,5,290,1
SCENES41,NA,290,2
SCENES5,NA,290,2
SCENES14,NA,290,2
SCENES7,NA,290,2
SCENES22,NA,290,2
SCENES26,NA,290,2
SCENES10,NA,290,2
SCENES36,4,303,2
SCENES28,NA,303,2
SCENES46,NA,303,2
SCENES7,7,303,1
SCENES7,NA,303,2
SCENES8,7,303,1
SCENES13,NA,303,2
SCENES22,3,303,1
SCENES40,NA,303,2
SCENES9,7,303,1
SCENES20,NA,303,2
SCENES37,NA,303,2
SCENES28,7,303,1
SCENES21,7,303,2
SCENES1,NA,303,2
SCENES26,NA,303,2
SCENES26,1,303,1
SCENES48,5,303,1
SCENES48,NA,303,2
SCENES44,7,303,1
SCENES9,6,303,2
SCENES22,NA,303,2
SCENES43,6,303,1
SCENES11,3,303,1
SCENES37,7,303,1
SCENES23,4,303,1
SCENES1,5,303,1
SCENES36,4,303,1
SCENES40,7,303,1
SCENES18,3,303,2
SCENES43,6,303,2
SCENES49,NA,303,2
SCENES14,7,303,1
SCENES20,4,303,1
SCENES46,7,303,1
SCENES25,NA,303,2
SCENES11,NA,303,2
SCENES13,7,303,1
SCENES10,7,303,1
SCENES14,NA,303,2
SCENES25,1,303,1
SCENES18,4,303,1
SCENES5,NA,303,2
SCENES23,NA,303,2
SCENES2,NA,303,2
SCENES5,6,303,1
SCENES6,1,303,2
SCENES12,7,303,2
SCENES21,7,303,1
SCENES49,4,303,1
SCENES10,NA,303,2
SCENES2,2,303,1
SCENES41,NA,303,2
SCENES39,4,303,1
SCENES39,4,303,2
SCENES12,7,303,1
SCENES41,3,303,1
SCENES8,NA,303,2
SCENES6,1,303,1
SCENES44,NA,303,2
SCENES13,NA,307,2
SCENES1,6,307,1
SCENES25,1,307,1
SCENES36,2,307,2
SCENES18,2,307,1
SCENES6,3,307,2
SCENES2,NA,307,2
SCENES44,NA,307,2
SCENES8,4,307,1
SCENES8,NA,307,2
SCENES22,2,307,1
SCENES43,2,307,1
SCENES10,NA,307,2
SCENES9,3,307,1
SCENES39,2,307,2
SCENES6,4,307,1
SCENES7,NA,307,2
SCENES37,7,307,1
SCENES14,6,307,1
SCENES1,NA,307,2
SCENES5,NA,307,2
SCENES25,NA,307,2
SCENES11,1,307,1
SCENES21,7,307,1
SCENES14,NA,307,2
SCENES40,NA,307,2
SCENES48,2,307,1
SCENES13,7,307,1
SCENES40,7,307,1
SCENES46,NA,307,2
SCENES46,5,307,1
SCENES7,4,307,1
SCENES41,2,307,1
SCENES2,3,307,1
SCENES9,2,307,2
SCENES28,6,307,1
SCENES12,6,307,2
SCENES44,6,307,1
SCENES18,2,307,2
SCENES37,NA,307,2
SCENES10,7,307,1
SCENES23,2,307,1
SCENES21,7,307,2
SCENES43,2,307,2
SCENES20,NA,307,2
SCENES49,2,307,1
SCENES48,NA,307,2
SCENES41,NA,307,2
SCENES26,4,307,1
SCENES20,2,307,1
SCENES5,3,307,1
SCENES36,2,307,1
SCENES22,NA,307,2
SCENES49,NA,307,2
SCENES12,5,307,1
SCENES28,NA,307,2
SCENES11,NA,307,2
SCENES23,NA,307,2
SCENES26,NA,307,2
SCENES39,2,307,1
SCENES2,NA,322,2
SCENES6,1,322,2
SCENES41,1,322,1
SCENES26,NA,322,2
SCENES9,6,322,1
SCENES46,7,322,1
SCENES22,1,322,1
SCENES44,6,322,1
SCENES25,1,322,1
SCENES14,6,322,1
SCENES43,2,322,1
SCENES49,2,322,1
SCENES22,NA,322,2
SCENES23,2,322,1
SCENES20,2,322,1
SCENES40,NA,322,2
SCENES8,6,322,1
SCENES8,NA,322,2
SCENES39,1,322,2
SCENES11,1,322,1
SCENES7,6,322,1
SCENES23,NA,322,2
SCENES49,NA,322,2
SCENES48,NA,322,2
SCENES36,1,322,2
SCENES48,1,322,1
SCENES43,2,322,2
SCENES13,7,322,1
SCENES6,1,322,1
SCENES18,1,322,1
SCENES44,NA,322,2
SCENES20,NA,322,2
SCENES5,NA,322,2
SCENES14,NA,322,2
SCENES7,NA,322,2
SCENES28,7,322,1
SCENES26,1,322,1
SCENES37,6,322,1
SCENES21,6,322,1
SCENES1,6,322,1
SCENES37,NA,322,2
SCENES1,NA,322,2
SCENES2,1,322,1
SCENES41,NA,322,2
SCENES9,6,322,2
SCENES28,NA,322,2
SCENES46,NA,322,2
