Obj,Rating,Sub,Block
OBJECTS9,1,192,2
OBJECTS25,NA,192,2
OBJECTS21,2,192,1
OBJECTS39,2,192,1
OBJECTS18,2,192,2
OBJECTS23,NA,192,2
OBJECTS12,4,192,1
OBJECTS8,2,192,1
OBJECTS43,2,192,1
OBJECTS40,5,192,1
OBJECTS33,3,192,1
OBJECTS27,2,192,1
OBJECTS37,NA,192,2
OBJECTS5,NA,192,2
OBJECTS7,NA,192,2
OBJECTS21,2,192,2
OBJECTS37,3,192,1
OBJECTS5,5,192,1
OBJECTS11,NA,192,2
OBJECTS24,2,192,2
OBJECTS22,3,192,1
OBJECTS23,2,192,1
OBJECTS7,2,192,1
OBJECTS9,4,198,2
OBJECTS38,NA,198,2
OBJECTS40,4,198,1
OBJECTS16,4,198,1
OBJECTS21,5,198,2
OBJECTS35,5,198,1
OBJECTS43,3,198,2
OBJECTS16,NA,198,2
OBJECTS9,4,198,1
OBJECTS45,NA,198,2
OBJECTS6,3,198,2
OBJECTS33,5,198,1
OBJECTS23,4,198,1
OBJECTS31,3,198,1
OBJECTS35,NA,198,2
OBJECTS8,NA,198,2
OBJECTS23,NA,198,2
OBJECTS11,NA,198,2
OBJECTS40,NA,198,2
OBJECTS24,4,198,1
OBJECTS21,5,198,1
OBJECTS25,NA,198,2
OBJECTS39,5,198,2
OBJECTS43,3,198,1
OBJECTS37,NA,198,2
OBJECTS27,4,198,2
OBJECTS5,4,198,1
OBJECTS37,4,198,1
OBJECTS42,NA,198,2
OBJECTS32,NA,198,2
OBJECTS12,4,198,1
OBJECTS31,NA,198,2
OBJECTS26,4,198,1
OBJECTS39,5,198,1
OBJECTS26,NA,198,2
OBJECTS45,5,198,1
OBJECTS7,NA,198,2
OBJECTS7,5,198,1
OBJECTS34,4,198,1
OBJECTS24,4,198,2
OBJECTS27,4,198,1
OBJECTS18,5,198,2
OBJECTS49,NA,198,2
OBJECTS49,4,198,1
OBJECTS33,5,198,2
OBJECTS6,3,198,1
OBJECTS18,5,198,1
OBJECTS3,4,198,2
OBJECTS3,3,198,1
OBJECTS8,4,198,1
OBJECTS25,5,198,1
OBJECTS11,5,198,1
OBJECTS22,4,198,1
OBJECTS42,3,198,1
OBJECTS34,NA,198,2
OBJECTS38,3,198,1
OBJECTS22,NA,198,2
OBJECTS32,4,198,1
OBJECTS5,NA,198,2
OBJECTS12,4,198,2
OBJECTS40,2,214,1
OBJECTS6,6,214,1
OBJECTS31,NA,214,2
OBJECTS25,NA,214,2
OBJECTS31,5,214,1
OBJECTS21,1,214,2
OBJECTS22,2,214,1
OBJECTS32,1,214,1
OBJECTS26,2,214,1
OBJECTS43,1,214,2
OBJECTS27,2,214,1
OBJECTS49,1,214,1
OBJECTS22,NA,214,2
OBJECTS33,1,214,1
OBJECTS7,3,214,1
OBJECTS8,3,214,1
OBJECTS34,NA,214,2
OBJECTS12,1,214,2
OBJECTS33,1,214,2
OBJECTS25,1,214,1
OBJECTS3,1,214,2
OBJECTS49,NA,214,2
OBJECTS12,1,214,1
OBJECTS43,1,214,1
OBJECTS39,1,214,1
OBJECTS7,NA,214,2
OBJECTS32,NA,214,2
OBJECTS18,2,214,2
OBJECTS5,5,214,1
OBJECTS42,3,214,1
OBJECTS37,2,214,1
OBJECTS16,NA,214,2
OBJECTS24,1,214,1
OBJECTS23,3,214,1
OBJECTS3,1,214,1
OBJECTS38,NA,214,2
OBJECTS9,3,214,1
OBJECTS8,NA,214,2
OBJECTS35,2,214,1
OBJECTS39,1,214,2
OBJECTS40,NA,214,2
OBJECTS37,NA,214,2
OBJECTS23,NA,214,2
OBJECTS21,2,214,1
OBJECTS45,1,214,1
OBJECTS27,2,214,2
OBJECTS26,NA,214,2
OBJECTS11,NA,214,2
OBJECTS35,NA,214,2
OBJECTS9,1,214,2
OBJECTS18,5,214,1
OBJECTS6,5,214,2
OBJECTS38,1,214,1
OBJECTS5,NA,214,2
OBJECTS11,3,214,1
OBJECTS45,NA,214,2
OBJECTS34,2,214,1
OBJECTS16,3,214,1
OBJECTS42,NA,214,2
OBJECTS24,1,214,2
OBJECTS25,6,216,1
OBJECTS7,NA,216,2
OBJECTS11,3,216,1
OBJECTS31,NA,216,2
OBJECTS12,4,216,2
OBJECTS38,NA,216,2
OBJECTS21,4,216,1
OBJECTS32,NA,216,2
OBJECTS27,5,216,2
OBJECTS34,NA,216,2
OBJECTS40,NA,216,2
OBJECTS24,5,216,2
OBJECTS7,5,216,1
OBJECTS26,4,216,1
OBJECTS45,NA,216,2
OBJECTS6,5,216,1
OBJECTS8,NA,216,2
OBJECTS42,4,216,1
OBJECTS35,NA,216,2
OBJECTS21,4,216,2
OBJECTS12,4,216,1
OBJECTS26,NA,216,2
OBJECTS18,6,216,2
OBJECTS6,5,216,2
OBJECTS33,6,216,1
OBJECTS49,4,216,1
OBJECTS43,3,216,2
OBJECTS22,NA,216,2
OBJECTS3,4,216,1
OBJECTS25,NA,216,2
OBJECTS38,4,216,1
OBJECTS9,3,216,1
OBJECTS27,5,216,1
OBJECTS49,NA,216,2
OBJECTS11,NA,216,2
OBJECTS42,NA,216,2
OBJECTS16,NA,216,2
OBJECTS32,5,216,1
OBJECTS40,4,216,1
OBJECTS37,5,216,1
OBJECTS45,5,216,1
OBJECTS33,6,216,2
OBJECTS16,3,216,1
OBJECTS34,6,216,1
OBJECTS39,5,216,2
OBJECTS9,3,216,2
OBJECTS35,5,216,1
OBJECTS37,NA,216,2
OBJECTS8,5,216,1
OBJECTS24,4,216,1
OBJECTS43,4,216,1
OBJECTS5,NA,216,2
OBJECTS22,5,216,1
OBJECTS5,4,216,1
OBJECTS39,5,216,1
OBJECTS18,5,216,1
OBJECTS3,4,216,2
OBJECTS23,6,216,1
OBJECTS23,NA,216,2
OBJECTS31,3,216,1
OBJECTS35,6,230,1
OBJECTS12,5,230,2
OBJECTS11,NA,230,2
OBJECTS37,NA,230,2
OBJECTS21,4,230,2
OBJECTS18,6,230,2
OBJECTS24,6,230,1
OBJECTS9,4,230,2
OBJECTS33,5,230,2
OBJECTS38,3,230,1
OBJECTS3,5,230,2
OBJECTS8,4,230,1
OBJECTS8,NA,230,2
OBJECTS23,NA,230,2
OBJECTS40,6,230,1
OBJECTS24,6,230,2
OBJECTS9,4,230,1
OBJECTS7,4,230,1
OBJECTS31,NA,230,2
OBJECTS26,6,230,1
OBJECTS45,4,230,1
OBJECTS38,NA,230,2
OBJECTS26,NA,230,2
OBJECTS22,NA,230,2
OBJECTS11,5,230,1
OBJECTS31,3,230,1
OBJECTS39,5,230,1
